,degree_type,,,,
Executive Master en Comunicación,1,,,,
Executive Master in Management (,1,,,,
Executive Master of Business Adm,2,,,,
Executive Master of Finance,1,,,,
Executive Master Public Manageme,1,,,,
Executive Masters,2,,,,
Executive Masters (Non Degree),1,,,,
Executive Masters of Science in ,1,,,,
Executive MBA,1,,,,
Executive MBA (EXPECTED),1,,,,
Executive MBA Certificate,1,,,,
Executive MBA international exch,1,,,,
Executive MBA Program,1,,,,
Executive MBA program,1,,,,
Executive Mini MBA Program,1,,,,
Executive Mini-MBA Program,1,,,,
Executive Negotiation MBA Course,1,,,,
Executive Program,29,,,,
Executive program,3,,,,
executive program,1,,,,
Executive Program for Growing Co,2,,,,
Executive Program in Growth Mana,1,,,,
"Executive Program, Srategic Mark",1,,,,
Executive Programme,1,,,,
Executive Summer Course,1,,,,
Executive Training Programme Kor,1,,,,
Executive Women's Leadership,1,,,,
Exercise Science,1,,,,
Exexcutive Master,1,,,,
Exhange Programme,1,,,,
Experiential executive education,1,,,,
Expert,1,,,,
Expert Comptable,1,,,,
"Expert, Cooperation and Developm",1,,,,
"Expert, Intermet as a learning e",1,,,,
Extension,3,,,,
Extension - Certificate,1,,,,
Extension Course,1,,,,
Extension Program,1,,,,
External studies,1,,,,
F.C.A,1,,,,
FAA license,1,,,,
Facial Plastic Surgery Fellowshi,1,,,,
FAICD,1,,,,
FANFE Executive Education Progra,1,,,,
Fashion,1,,,,
Fashion Design,2,,,,
Fashion designer,1,,,,
FCA,6,,,,
FCE,1,,,,
FCMA,1,,,,
FCS,1,,,,
FCSI,1,,,,
FdA,3,,,,
FDA,1,,,,
FdA Design Practice,1,,,,
fdsafasd,1,,,,
Fellow,5,,,,
Fellow Chartered Accountant,1,,,,
Fellows Class III,1,,,,
Fellowship,23,,,,
fellowship,1,,,,
Fellowship in Facial Plastic and,1,,,,
Fellowship in Plastic Surgery,1,,,,
Fellowship of Emergency Medicine,1,,,,
"Fellowship, Cardiovascular Disea",1,,,,
"Fellowship, Interventional Cardi",1,,,,
"Fellowship, Interventional Radio",1,,,,
FEMA Incident Management NIMS Ce,1,,,,
FFA,1,,,,
FGF,1,,,,
Field Engineer,1,,,,
Fil kand,1,,,,
Fil.Lic.,1,,,,
Film,1,,,,
Film and Television,1,,,,
"Film Direction, Film Making",1,,,,
Final year,1,,,,
Finalist,1,,,,
Finance,24,,,,
Finance & Management,1,,,,
Finance & Marketing,1,,,,
Finance (Major) and Information ,1,,,,
Finance / Marketing,1,,,,
Finance and Accounting,1,,,,
Finance and Accounting executive,1,,,,
Finance and Economics,1,,,,
Finance and Management,1,,,,
Finance Degree,1,,,,
Finance with an emphasis in Risk,1,,,,
"Finance, Management, Internation",1,,,,
Finance/Accounting,1,,,,
"Finance/MIS , Finance, MIS, CIS,",1,,,,
"Financial Analysis, 4.0",1,,,,
Financial Information System,1,,,,
Financial Management,1,,,,
Financial Technology,1,,,,
Fine art,1,,,,
Fine Art/Art,1,,,,
Fine Arts,1,,,,
First Aid Certificate,1,,,,
First Class,2,,,,
First Class B.Eng. with Honors,1,,,,
First class BSc (Hons),1,,,,
First Class Degree,3,,,,
first class degree,1,,,,
First Class degree,1,,,,
First Class Honours,8,,,,
First class honours degree,1,,,,
First Class Honours Degree,1,,,,
First Class with Honours,1,,,,
First degree,1,,,,
First Degree,1,,,,
First Legal State examination,1,,,,
First Level Degree,1,,,,
First State Examination (J.D. eq,1,,,,
first year MA,1,,,,
First-Class Honors degree,1,,,,
First-Class Honours,1,,,,
first-class honours degree,1,,,,
Fiscal Law,1,,,,
Five-Year Master of Arts,1,,,,
Five-Year Master's Degree,1,,,,
Flash Certification,1,,,,
Focus,1,,,,
Foreign Exchange,1,,,,
Foundation,1,,,,
Foundation degree,1,,,,
Foundation Degree,1,,,,
Founder,1,,,,
FRACGP,1,,,,
FRCPsych,1,,,,
French Baccalaureat,1,,,,
French Baccalaureate,1,,,,
French Business School,1,,,,
French equivalent of MSC,1,,,,
from,1,,,,
FSV,1,,,,
FTI,1,,,,
Fulbright Fellow,2,,,,
Fulbright Fellowship,1,,,,
Fulbright Scholar,2,,,,
Full Graduate Scholarship and As,1,,,,
Full professor,1,,,,
Full Time,6,,,,
Full time,1,,,,
Full-Stack Engineering,1,,,,
Fulltime,1,,,,
Functional trainer,1,,,,
FutureMed Executive Program,1,,,,
Gaduate,1,,,,
Game Design,1,,,,
Gastroenterology,1,,,,
Gastronomy,1,,,,
GC,2,,,,
GCE,2,,,,
GCE A-Levels,1,,,,
"GCE A-levels, Biology, Physics a",1,,,,
GCE/SC (O-Levels),1,,,,
GCSE,2,,,,
GCSE A Levels,1,,,,
GCSEs,1,,,,
GDIP,1,,,,
GDL,2,,,,
GDL & LPC,1,,,,
"GDL, LPC",1,,,,
gdmA,1,,,,
GED,2,,,,
GEMBA,1,,,,
Gen Ed,1,,,,
General,2,,,,
General Arts,1,,,,
General Business Administrator,1,,,,
General Business Studies,1,,,,
General Course,5,,,,
General COurse,1,,,,
General Course Certificate,1,,,,
General Education,2,,,,
General Educational Development,1,,,,
General Level 2,1,,,,
General Management Programme,1,,,,
General Virology,1,,,,
Genetics,1,,,,
Geography,1,,,,
Geological,1,,,,
Geology,1,,,,
Gerencia de Mercadeo,1,,,,
German Abitur,1,,,,
German Diplom,1,,,,
German Diploma,2,,,,
German diploma,1,,,,
German diploma (equ. Master of S,1,,,,
Germanic Studies,1,,,,
"Gestión y Management, Management",1,,,,
Global Entrepreneurship,1,,,,
Global Entrepreneurship Program,1,,,,
Global Leadership and Public Pol,1,,,,
"Global Management (Strategy, Eme",1,,,,
Global MBA,1,,,,
Global Scholar Program,1,,,,
Global Security and Intelligence,1,,,,
gMBA/MGB,1,,,,
GMI graduate,1,,,,
GMP,4,,,,
GNIIT,5,,,,
GNVQ Advanced,1,,,,
Google,1,,,,
Google Advertising Professional,1,,,,
Google Adwords Certified Indiviu,1,,,,
Google Analytics Individual Qual,1,,,,
Governance Essentials Program,1,,,,
Government & Public Policy,1,,,,
Grad,1,,,,
Grad Dip,2,,,,
Grad. D. IT,1,,,,
Grad. Diploma,1,,,,
grade,1,,,,
Grade: 8th,1,,,,
Graduação,3,,,,
Graduate,80,,,,
Graduate & Post Graduate,1,,,,
Graduate (Hons),1,,,,
Graduate (magna cum laude),1,,,,
Graduate / Diploma,1,,,,
Graduate and an Undergraduate De,1,,,,
Graduate Business,1,,,,
Graduate Certificate,13,,,,
Graduate Certificate in Business,1,,,,
"Graduate Certificate,",1,,,,
"Graduate Certificate, Management",1,,,,
Graduate Certification,1,,,,
Graduate Coursework,1,,,,
Graduate coursework,1,,,,
Graduate Cum Laude,2,,,,
Graduate Degree,10,,,,
Graduate degree,2,,,,
Graduate degree of Engineer,1,,,,
graduate degrees,1,,,,
Graduate Dimploma in Applied Fin,1,,,,
Graduate Diploma,24,,,,
Graduate Diploma in Applied Fina,1,,,,
Graduate Diploma in Human Resour,1,,,,
Graduate Diploma of Psychology,1,,,,
Graduate Engineer,1,,,,
Graduate Fall 2010,1,,,,
Graduate in 1994  1996,1,,,,
Graduate in Business Administrat,1,,,,
Graduate Level Courses,1,,,,
Graduate Magna Cum Laude,3,,,,
Graduate Management Qualificatio,1,,,,
Graduate non-degree coursework,1,,,,
Graduate Opportunity Program,1,,,,
Graduate Phi Beta Kappa,1,,,,
Graduate Program,2,,,,
Graduate Publishing Program,1,,,,
Graduate School,1,,,,
Graduate Software Engineering Se,1,,,,
Graduate Studie Program,1,,,,
Graduate Studies,8,,,,
Graduate studies,2,,,,
Graduate Studies in Financial Pl,1,,,,
Graduate Studies Program,1,,,,
Graduate Study,2,,,,
Graduate Study Program,1,,,,
Graduate summa cum laude,3,,,,
Graduate Summa Cum Laude,1,,,,
Graduate Tax Program,1,,,,
graduate work,2,,,,
"Graduate, JD",1,,,,
"Graduate, Magna Cum Laude",2,,,,
Graduated,61,,,,
graduated,34,,,,
graduated cum laude,1,,,,
Graduated Magna Cum Laude,1,,,,
Graduated Summa Cum Laude,1,,,,
Graduated Summa Cum Laude & Phi ,1,,,,
graduated with a Bachelors of Sc,1,,,,
Graduated with Bachelor of Arts ,1,,,,
Graduated with honors,2,,,,
Graduated with specialization in,1,,,,
Graduateship,1,,,,
graduating,3,,,,
Graduating,1,,,,
Graduation,188,,,,
graduation,3,,,,
Graduation Degree,1,,,,
Graduation Diploma,1,,,,
Graduation in information techno,1,,,,
Graduations,1,,,,
Grand Diplome,1,,,,
Grande Ecole,2,,,,
Grande Ecole Diploma,1,,,,
Graphic Design,5,,,,
Graphic Design/Illustration,1,,,,
Graphic Designer,2,,,,
Graphical Industry,1,,,,
Great Distinction,1,,,,
Green Belt,1,,,,
GSP,2,,,,
GSP 11,1,,,,
GSP-10,1,,,,
Guitar,1,,,,
Gymnasiet,1,,,,
H.A.,1,,,,
H.B.A.,1,,,,
H.B.B.A,1,,,,
H.B.Sc,1,,,,
H.B.Sc.,1,,,,
H.BSc,1,,,,
H.Bsc,1,,,,
H.BSc.,1,,,,
H.D.,2,,,,
H.N.D,1,,,,
H.S.,1,,,,
H.S. Diploma,1,,,,
H.S.C,3,,,,
H.S.C.,2,,,,
HABB,1,,,,
Half BSc,1,,,,
Half MBA,1,,,,
Handelsir,1,,,,
Hands On Java Programming course,1,,,,
Harvard Business School,1,,,,
Havo,1,,,,
HBA,27,,,,
"HBA, Accounting, Mathematics, Ec",1,,,,
"HBA, Specialization in Entrepren",1,,,,
HBA. MBA,1,,,,
HBA/MBA,1,,,,
HBBA,2,,,,
"HBBA, Business/Finance",1,,,,
HBO,1,,,,
HBSc,3,,,,
"HBSc, Economics",1,,,,
"HBSc, Economics, Biology, Profes",1,,,,
HBSc.,1,,,,
"HBSc., Psychology, Communication",1,,,,
HCI,1,,,,
HCIMA,1,,,,
HD,2,,,,
HDip,2,,,,
HE Diploma,1,,,,
Health Infomatics,1,,,,
healthcare,1,,,,
HEAO,2,,,,
HEAO propaedeuse,1,,,,
HEC,1,,,,
HH,1,,,,
HHMI Fellow,1,,,,
HHX,1,,,,
Hi School Diploma,1,,,,
HID,1,,,,
High,1,,,,
High Level Technician,1,,,,
High School,33,,,,
high school,3,,,,
High school,3,,,,
High School degree,2,,,,
High School Degree,1,,,,
"High School Degree, Academic",1,,,,
High School Deploma,1,,,,
High School Diploma,27,,,,
high school diploma,1,,,,
High school diploma,1,,,,
"High School Diploma, College Pre",1,,,,
High School Dipolma,1,,,,
High School Education,1,,,,
high school graduate,1,,,,
High Tech MBA,1,,,,
Higher,2,,,,
Higher Certificate,1,,,,
Higher Diploma,1,,,,
Higher Education Award,1,,,,
higher education entrance qualif,1,,,,
Higher National Diploma,2,,,,
Higher Secondary School,1,,,,
HIGHER SECONDRY SCHOOL,1,,,,
"Higher, Master's,",1,,,,
HighSchool,1,,,,
Highschool,1,,,,
Highschool Diploma,1,,,,
High-school education,1,,,,
Hijinx,1,,,,
History,3,,,,
History and Political Science,1,,,,
HNC,2,,,,
HND,20,,,,
Hnd,1,,,,
HND (Honours),1,,,,
HND Photography,1,,,,
HNDip,1,,,,
Hon,1,,,,
Hon. B. Commerce,1,,,,
Hon. B. Sc.,1,,,,
Hon. B.A (incomplete),1,,,,
Hon. BA,1,,,,
Hon. Doc.,1,,,,
Honorary Degree,5,,,,
Honorary degree,1,,,,
Honorary Doctor,1,,,,
Honorary Doctor of Fine Arts,2,,,,
honorary doctor of laws degree,1,,,,
Honorary Doctor of Science,1,,,,
Honorary Doctoral Degree,1,,,,
Honorary Doctorate,18,,,,
Honorary Doctorate Degree,1,,,,
Honorary Doctorate of Engineerin,1,,,,
Honorary Doctorate Of Law degree,1,,,,
Honorary Doctorate of Laws,2,,,,
Honorary Doctorate of Science,1,,,,
Honorary Doctors in Complex Syst,1,,,,
Honorary Masters,1,,,,
Honorary Ph.D.,2,,,,
Honorary PhD,1,,,,
Honors,16,,,,
Honors (1st Class),1,,,,
Honors (masters-level) Degree,1,,,,
Honors 1st class,1,,,,
Honors B.A.,2,,,,
Honors Bachelor Deg.,1,,,,
Honors Bachelor of Business Admi,1,,,,
Honors Bachelor of Science,1,,,,
Honors Bachelors,1,,,,
Honors Business Administration,2,,,,
Honors Degree,6,,,,
honors degree,1,,,,
Honors Degree In Juris Doctor,1,,,,
Honors Graduate,3,,,,
Honors Program,1,,,,
Honors Program graduate,1,,,,
"Honors,",1,,,,
Honour,1,,,,
Honours,20,,,,
Honours (First Class),1,,,,
Honours B.Sc,1,,,,
Honours BA,2,,,,
Honours Bachelor Commerce,1,,,,
Honours Bachelor of Arts,5,,,,
Honours Bachelor of Commerce,1,,,,
Honours Bachelor of Science,2,,,,
Honours Bachelors,2,,,,
Honours BASc,1,,,,
Honours BBA,1,,,,
Honours Business Administration ,1,,,,
Honours Degree,13,,,,
honours degree,1,,,,
Honours in Business Administrati,1,,,,
Honours LLB,1,,,,
"Honours, BA",1,,,,
"Honours, Physics",1,,,,
Hons,5,,,,
Hons BBA,1,,,,
Hons BSc,1,,,,
Hons Business Admin,1,,,,
Hons Degree,1,,,,
Hons.,2,,,,
Hons. B.Sc.,1,,,,
Hons. B.Sc. (Coop Program),1,,,,
Hons. BBA,1,,,,
Hospitality Administration,1,,,,
HR Certificate,1,,,,
HR Management,1,,,,
HRM,1,,,,
HS,7,,,,
HS Dip,1,,,,
HS Diploma,6,,,,
HS diploma,1,,,,
HSC,11,,,,
HSD,1,,,,
HSK 4,1,,,,
HTD,1,,,,
HTM,1,,,,
Human Biology,1,,,,
Human Resource,1,,,,
Human Resources Development and ,1,,,,
Human Resources Management,1,,,,
Human Resources Management Progr,1,,,,
Humanities,1,,,,
Humanities Undergraduate,1,,,,
Hutchins Program,1,,,,
hydraulic and water resource eng,1,,,,
Hypokhagne,1,,,,
I.C.S.E,1,,,,
I.C.S.E.,1,,,,
I.E.MBA,1,,,,
I.S.C.,1,,,,
I.T.,1,,,,
IAA Master Class,1,,,,
IB,6,,,,
IB Diploma,2,,,,
IB Diploma Programme,1,,,,
IBA,1,,,,
iBBA,1,,,,
IBD,1,,,,
IBEP,1,,,,
IBO International Baccalaureate ,1,,,,
ICD,1,,,,
ICD.D,1,,,,
ICD.d Designation,1,,,,
ICH,1,,,,
ICS,1,,,,
ICSE,7,,,,
ICT System Operator,1,,,,
ICWAI,1,,,,
IDL,1,,,,
IEB Senior Certificate,1,,,,
IEP,1,,,,
IESE Business School,1,,,,
IFIPS,1,,,,
IFL,1,,,,
IGCSE,1,,,,
Ignite Program,1,,,,
II Honours,1,,,,
IIT JEE,1,,,,
Illinois Institute of Art,1,,,,
Imaginary,1,,,,
IMBA,2,,,,
iMBA,1,,,,
IMCA Certified Investment Managm,1,,,,
IMMS,1,,,,
IMT,1,,,,
in Industrial Engineering,1,,,,
Incomplete,19,,,,
incomplete,1,,,,
Incomplete - 3.5 years toward BS,1,,,,
"Independent Studies - London, En",1,,,,
In-Depth Tax Specialist Program,1,,,,
"Indian Institute of Technology, ",1,,,,
Industria Civil Engineer,1,,,,
Industrial & Mechanical Engineer,1,,,,
Industrial and Systems Engineeri,1,,,,
Industrial Design,2,,,,
Industrial design,1,,,,
Industrial Designer and Concepto,1,,,,
Industrial Egineering,1,,,,
Industrial Engineer,7,,,,
Industrial Engineering,8,,,,
industrial engineering,1,,,,
Industrial M.Sc. Thesis,1,,,,
Industrial Master,1,,,,
Industrial Organization Engineer,1,,,,
Industrial Technical Engineer (I,1,,,,
Industrie-Kaufman,1,,,,
Industriekaufmann,1,,,,
Infectious Disease Fellowship,1,,,,
Informática,1,,,,
Informatic Engineering,1,,,,
"Informatica,",1,,,,
Informatico,1,,,,
Informatics,1,,,,
Information Management & Technol,1,,,,
Information Resource Management,1,,,,
Information Science,2,,,,
Information Security Management,1,,,,
Information Systems,5,,,,
Information Systems and Computer,1,,,,
Information Systems Management M,1,,,,
Information Technologies,1,,,,
Information Technology,9,,,,
Information Technology and Manag,1,,,,
Information Technology Managemen,1,,,,
Information Technology Software,1,,,,
Ing,2,,,,
ing,1,,,,
Ing.,4,,,,
Ing. Tec. Telecomunicaciones,1,,,,
Ingénieur,7,,,,
ingénieur,1,,,,
Ingénieur agronome,1,,,,
Ingénieur Civil,1,,,,
Ingénieur Civil Electro-mécaniqu,1,,,,
Ingénieur commercial,1,,,,
Ingénieur en informatique,1,,,,
IngÃ©nieur,1,,,,
Ingegnere,1,,,,
Ingeniería,1,,,,
Ingeniería de Ejecución en Infor,1,,,,
Ingeniería Electrónica,1,,,,
Ingeniería en Sistemas,1,,,,
Ingeniería Informática,2,,,,
Ingenieria Industrial,1,,,,
Ingeniero,2,,,,
Ingeniero Agrónomo,1,,,,
Ingeniero Civil,2,,,,
Ingeniero Civil Industrial,1,,,,
"Ingeniero Comercial, Administrac",1,,,,
"Ingeniero Comercial, Ingles Avan",1,,,,
Ingeniero en Informática,1,,,,
Ingeniero en informatica,1,,,,
Ingeniero en Sistemas,1,,,,
Ingeniero Informático,1,,,,
Ingeniero QuÃ­mico,1,,,,
Ingeniero superior,1,,,,
Ingeniero Superior,1,,,,
Ingeniero superior de telecomuni,1,,,,
Ingeniero Técnico,2,,,,
Ingeniero Técnico de Sistemas,1,,,,
"Ingeniero Técnico de Sistemas,",1,,,,
Ingeniero técnico electrónico,1,,,,
Ingeniero Técnico en Informática,1,,,,
Ingeniero tecnico,1,,,,
Ingenieur,5,,,,
Ingenieur diplome d'etat,1,,,,
Innovation,1,,,,
Insead,1,,,,
INSTEP,1,,,,
Institute of Corporate Directors,1,,,,
Instructor,2,,,,
Int. Business,1,,,,
"Int. Diploma, Military Intellige",1,,,,
Int. Management,1,,,,
Integrated Marketing and Communi,1,,,,
Integrated Master of Technology,1,,,,
Integrated Masters,2,,,,
Integrative Arts,1,,,,
Intensive Hebrew Course,1,,,,
Inter,1,,,,
Interactive Design,1,,,,
Interactive Media,1,,,,
"Interactive, Graphic and 3D Desi",1,,,,
"Intercultural Management, 2:1",1,,,,
Interdisciplinary Masters,1,,,,
Interdisciplinary Social Science,1,,,,
Interdisciplinary Studies,1,,,,
Intermediate,3,,,,
intermediate,2,,,,
Intermediate level,1,,,,
Internation Master's in Business,1,,,,
International Baccalaureate,8,,,,
International Baccalaureate Dipl,2,,,,
International Baccalaureate with,1,,,,
International Baccaleureate,1,,,,
International Business,4,,,,
International Business & Trade L,1,,,,
International Business Administr,3,,,,
International Business and Marke,1,,,,
International Business Degree,1,,,,
International Business Developme,1,,,,
International Business Managemen,2,,,,
International Diploma,2,,,,
International Economics,1,,,,
International Exchange,1,,,,
International Exchange Program,1,,,,
International Executive MBA,3,,,,
International Law and Internatio,1,,,,
International Law and Policy,1,,,,
"International Management, Busine",1,,,,
International Marketing,3,,,,
International Marketing & Corpor,1,,,,
International Marketing & Manage,1,,,,
International Master,1,,,,
International Master of Business,1,,,,
International Masters of  Scienc,1,,,,
International MBA,10,,,,
International Politics,1,,,,
International Relations,4,,,,
International Studies,1,,,,
International Trade Specialist,1,,,,
international travel tourism and,1,,,,
International Understanding,1,,,,
Internet Marketing,1,,,,
Internet Marketing Postgraduate,1,,,,
Intervention Specialist,1,,,,
Introduction to Bicycle Mechanic,1,,,,
Invitation-Only Program,1,,,,
Ir,1,,,,
ISC,3,,,,
ISP,1,,,,
ISS,1,,,,
IT,15,,,,
IT Collage,1,,,,
IT Engineer,1,,,,
IT Graduate,1,,,,
IT Management Postgraduate,1,,,,
IT Project Management,1,,,,
IT Systems Development,1,,,,
ITIL Foundation Certificate,1,,,,
ITIL Service Manager,1,,,,
IT-manager,1,,,,
IUT GEII,1,,,,
J.D,3,,,,
"J.D, Law",1,,,,
J.D.,15,,,,
J.D. - With honors,1,,,,
J.D. & L.L.M.,1,,,,
J.D. (candidate 2012),1,,,,
J.D. (cum laude),1,,,,
J.D. and a B.A,1,,,,
J.D. cum laude,1,,,,
J.D. degree,1,,,,
J.D. Law,1,,,,
J.D. with Highest Honors,2,,,,
J.D. with Honors,1,,,,
J.D. with honors,1,,,,
"J.D., Law",3,,,,
"J.D., LL.M",1,,,,
"J.D., magna cum laude",4,,,,
J.D./L.L.B,1,,,,
J.D./M.P.P.,1,,,,
JA,1,,,,
jain,1,,,,
Japanese Language,1,,,,
Japanese Studies,1,,,,
JBA,2,,,,
JD,1988,,,,
JD - Juris Doctor,2,,,,
JD / MBA,1,,,,
JD and an MBA,1,,,,
JD and MBA,1,,,,
JD and MBA degrees,1,,,,
JD and Member of Illinois State ,1,,,,
JD degree,1,,,,
"JD, cum laude",1,,,,
"JD, GD",1,,,,
"JD, Law",4,,,,
"JD, LLM",2,,,,
"JD, MBA",3,,,,
"JD, with honors",1,,,,
JD/MBA,13,,,,
JD/MSIA,1,,,,
JLPT Level 3,1,,,,
JMSB BA,1,,,,
John S. Knight fellowship for jo,2,,,,
Johnson & Johnson Advanced Manag,1,,,,
Joint B.A./M.A.,1,,,,
Joint BA,1,,,,
Joint Major,1,,,,
Joint Major BSc Honours Degree,1,,,,
Joint MSc,1,,,,
JOT & GET,1,,,,
Journalism,7,,,,
Journalism Degree (Broadcast Jou,1,,,,
Journalist and Social Comunicato,1,,,,
journeyman,1,,,,
JS Japan Fellowship,1,,,,
JSD,1,,,,
Junior Year,3,,,,
Jurastudium,1,,,,
Juris Doctor,18,,,,
Juris Doctor (Hons),1,,,,
Juris Doctor (JD),2,,,,
"Juris Doctor , cum laude",1,,,,
Juris Doctor Candidate,1,,,,
Juris Doctor degree,1,,,,
Juris Doctor Degree,1,,,,
"Juris Doctor, Cum Laude",1,,,,
Juris Doctorat,1,,,,
Juris Doctorate JD,1,,,,
"Juris Doctorate, Law",1,,,,
"Juris Doctorate, LAW",1,,,,
Juris Master,1,,,,
Jurisprudence Degree,1,,,,
JYA,1,,,,
K-12,1,,,,
Kandidaat Burgelijk Ingenieur,1,,,,
Kauffman Fellow,2,,,,
Kaufmannsgehilfenbrief,1,,,,
Kinesiology,1,,,,
Knight Fellowship,1,,,,
ko,1,,,,
Kommunikationswirt,1,,,,
KS Leadership Expert,1,,,,
L.A.F,1,,,,
L.L.B & B.A.,1,,,,
L.L.B degree,1,,,,
L.L.M.,1,,,,
L.LM J.S.D,1,,,,
L.M.P.,1,,,,
"LADE, M&A",1,,,,
Language Proficiency Certicifica,1,,,,
Langue et Civilisation,1,,,,
Latin-Sciences,1,,,,
Laurea,16,,,,
Laurea (MSc),1,,,,
Laurea Degree,2,,,,
Laurea in Giurisprudenza,1,,,,
Laurea Magistrale,1,,,,
Laurea triennale,1,,,,
"laurea, giurisprudenza",1,,,,
"Laurea, Informatica Applicata",1,,,,
"Laurea, Ingegneria Meccatronica",1,,,,
"Laurea, Mechanical Engineering",1,,,,
Law,45,,,,
law,4,,,,
LAW,2,,,,
Law (Honors),1,,,,
Law and Business,1,,,,
Law Degree,16,,,,
Law degree,5,,,,
law degree,3,,,,
Law Degree (honors),1,,,,
Law Degrees,1,,,,
Law Graduate,1,,,,
Law Honors,1,,,,
Law Hons.,1,,,,
Law LLB,1,,,,
Law LLB (Hons),1,,,,
Law School Diploma,1,,,,
"Law, Accounting",1,,,,
Lawyer,1,,,,
LC,1,,,,
Leadership,2,,,,
Leadership Strategies for IT,1,,,,
Leadership/Management Training P,1,,,,
Leave of Absence,2,,,,
"Lecturer, Tutor, Course-Writer",1,,,,
LEED (AP) Accredited Professiona,1,,,,
Legal Practice Course,1,,,,
"Legal Practice Course, Law",1,,,,
lerick Leuven-Gent Management Sc,1,,,,
Leutenant / First Leutenant,1,,,,
Level 1,1,,,,
"Level 1 & 2, International Finan",1,,,,
Level 2 CFA,1,,,,
Level 5 Proficiency,1,,,,
Level A and Level B,1,,,,
Level III Certification,1,,,,
Liberal Arts,6,,,,
liberal arts,1,,,,
Liberal Arts Bachelor,1,,,,
liberal arts studies,1,,,,
Liberal Ed Reqs,1,,,,
Lic,3,,,,
Lic Phil. I,1,,,,
Lic TEW,1,,,,
Lic.,1,,,,
"Lic. (M. Sc.),",1,,,,
Lic. en Economia,1,,,,
lic. oec. HSG,1,,,,
Lic. Rer. Pol.,1,,,,
Lic. Sistemas de información,1,,,,
Lic.Iur.,1,,,,
lic.iur.,1,,,,
Lic.oec.,1,,,,
Lic.Tech,1,,,,
Licence,11,,,,
licence,1,,,,
Licence professionnelle,1,,,,
Licence Professionnelle en alter,1,,,,
Licenciaat,1,,,,
Licenciada en Bellas Artes,1,,,,
"Licenciada en Periodismo, Cienci",1,,,,
Licenciado,5,,,,
licenciado,1,,,,
Licenciado (JD),1,,,,
Licenciado en Derecho,1,,,,
licenciado en Derecho y Master e,1,,,,
Licenciado Master,1,,,,
"Licenciado, CC.Empresariales",1,,,,
"Licenciado, Ciencia Política",1,,,,
Licenciatura,6,,,,
Licenciatura & Master,1,,,,
Licenciatura (5 year undergradua,1,,,,
Licenciatura en Administración,1,,,,
Licenciatura en Comercio,1,,,,
Licenciatura en ComunicaciÃ³n Pe,1,,,,
Licenciatura en Diseno Grafico,1,,,,
Licenciatura en Economía,1,,,,
Licenciatura en Fisica,1,,,,
License,1,,,,
License 2546,1,,,,
License in Cosmetology,1,,,,
Licensed Pharmacist,1,,,,
Licensee,1,,,,
Licentiate,5,,,,
licentiate,1,,,,
Licentiate degree,6,,,,
"Licentiate degree,",1,,,,
Licentiate in Physics,1,,,,
Licentiate of Technology degree,1,,,,
Liderança,1,,,,
LIII,1,,,,
Linguistics,1,,,,
"Linguistics, East Asian Studies",1,,,,
Lise Diplomas?,1,,,,
Lisence,1,,,,
LL.B (Hons),1,,,,
LL.B (Hons.),1,,,,
LL.B degree,1,,,,
LL.B.,1,,,,
LL.B. and B.A.,1,,,,
"LL.B., Law",1,,,,
LL.L,1,,,,
"LL.M, LL.B,B.A",1,,,,
LL.M.,1,,,,
LL.M. Taxation,1,,,,
"LL.M., Law",1,,,,
LLB,249,,,,
LLB (Hons),9,,,,
"LLB (Hons); DipLP, Law",1,,,,
LLB BA,1,,,,
LLB Honors,1,,,,
LLB Honours,1,,,,
LLB Hons,4,,,,
"LLB Hons, Law",1,,,,
"LLB hons, Law",1,,,,
LLB in Law,1,,,,
LLB(Hons),1,,,,
"LLB, AKC",1,,,,
"LLB, Law",2,,,,
LLB. Hons,1,,,,
LLD,2,,,,
LLM,147,,,,
LLM (First Class),1,,,,
LLM degree,1,,,,
LLM/JD,1,,,,
LMT,1,,,,
Load and Global Response of Ship,1,,,,
Low Degree,2,,,,
LPC,2,,,,
Lsc,1,,,,
LSCA,1,,,,
m,1,,,,
M,1,,,,
M ACC,1,,,,
M Des,1,,,,
M Eng Sc,1,,,,
M Litt,1,,,,
M Tech,4,,,,
M&A Executive Program,1,,,,
M. Acc,1,,,,
M. Com,1,,,,
M. Des,1,,,,
M. Div,1,,,,
M. Div.,1,,,,
M. Ed (cert),1,,,,
M. Eng and BS,1,,,,
M. Eng and Ph.D,1,,,,
M. Eng. Sc.,1,,,,
M. Math,2,,,,
M. Sc. (Tech),1,,,,
M. Sc. / Exam. Art,1,,,,
M. Sc. in Computer Science,1,,,,
M. Tech,4,,,,
M. Tech.,1,,,,
M.A,4,,,,
"M.A , C. Phil.",1,,,,
"M.A Global Communication, Leader",1,,,,
M.A Honours,1,,,,
M.A.,4,,,,
M.A. & Ph.D.,1,,,,
M.A. (First Class Honours),1,,,,
M.A. (Hons),1,,,,
M.A. / B.A.,1,,,,
M.A. and M.B.A.,1,,,,
M.A. and Ph.D,1,,,,
M.A. and PhD,1,,,,
M.A. Cantab,1,,,,
M.A. Coursework,1,,,,
M.A. degree,1,,,,
M.A. Ed,1,,,,
M.A. Hons.,2,,,,
M.A. HSG,1,,,,
M.A. in Teaching,1,,,,
M.A. Telecommunications Business,1,,,,
M.A. With Highest Honors,1,,,,
"M.A., International Studies",1,,,,
"M.A., M.L.A.",1,,,,
